Item,References,Value,Footprint,Quantity,LCSC_Part_Number,MFR_Part_Number,Description
18,"C30, C31, C32, C33",470nF,C0402,4,C106255,CC0402KRX5R6BB474,470nF 10V X5R 0402
19,"C9, C25",470nF,C0603,2,C1623,CL10B474KA8NNNC,470nF 25V X7R MLCC
20,"R3, R4",5.5kΩ,R0805,2,C269748,RMC08055.1K1%N,5.1kΩ ±1% Resistor
21,J3,52610-1572,526101572,1,C7545775,52610-1572,"Molex FFC/FPC 15-Pin 1mm Pitch, 125V 1A, Vertical Slide Lock SMD ROHS"
22,J3,52610-1572,526101572,1,C7545775,52610-1572,Molex FFC/FPC Connector 15-Pin 1mm Pitch SMD
23,R8,680Ω,R0402,1,C413078,ERJ2RKF6800X,680Ω ±1% Resistor
24,"H2, H3",A2541WV-5P,HDR-TH_5P-P2.54-V-M,2,C225480,A2541WV-5P,1×5 2.54mm Pin Header
25,U4,AD5941BCPZ-RL7,LFCSP-48_L7.0-W7.0-P0.50-BL-EP5.1,1,C650309,AD5941BCPZ-RL7,Bioimpedance / Electrochemical AFE
26,U5,ADM7150ARDZ-3.3-R7,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.1,1,C658444,ADM7150ARDZ-3.3-R7,3.3V 800mA Ultra-Low Noise LDO
27,L2,BLM18AG601SN1D,L0603,1,C19330,BLM18AG601SN1D,Ferrite Bead 600Ω @ 100MHz
28,U6,BM03B-SRSS-TB,CONN-SMD-3P-P1.00_BM03B-SRSS-TB-LF-SN,1,C160389,BM03B-SRSS-TB(LF)(SN),JST SH 3-Pin Connector
29,U1,ESP32-S3-MINI-1-N4R2,BULETM-SMD_ESP32-S3-MINI-1-N8,1,C19330,ESP32-S3-MINI-1-N4R2,ESP32-S3 Wi-Fi/BLE Module
30,LED1,FC-2012HRK-620D,LED0805-RD,1,C84256,NCD0805R1,Red Indicator LED
31,USB1,HC-TYPE-C-16P-01A-G,USB-C-SMD_G-SWITCH_GT-USB-7010EN,1,C2997435,HC-TYPE-C-16P-01A-G,USB Type-C Receptacle
32,H5,Header,HDR-TH_5P-P2.54-H-M-W7.7-P,1,C50950,,Male Header 1×5 2.54mm Through-hole
33,"H3, H4",Header-Female,HDR-TH_5P-P2.54-V-F,2,C60491,,Female Header 1×5 2.54mm Through-hole
34,U2,INA333AIDGKR,MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,1,C19450,INA333AIDGKR,Instrumentation Amplifier
35,"SW1, SW2",K2-1808SN-A4SW,KEY-SMD_4P-L4.2-W3.2-P2.20-LS5.1-TL,2,C92589,K2-1808SN-A4SW-01,Tactile Pushbutton
36,U9,LM61495Q5RPHRQ1_C3188409,VQFN-16_L4.5-W3.5-P0.50-TL_TI_RPH,1,C3188409,LM61495Q5RPHRQ1,36V 10A Buck Converter
37,"U11, U14",LMP7721MA/NOPB,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,2,C124427,LMP7721MA/NOPB,Ultra-Low Bias Electrometer Op Amp
38,H1,MTP220-1102S1,HDR-TH_2P-P2.00-V-M,1,C376075,MTP220-1102S1,2-Pin Header
39,"D2, D3",SS54FL,SMAF_L3.5-W2.6-LS4.7-RD,2,C115939,SS54FL,5A 40V Schottky Diode
40,"U3, U5, U9",TMUX1104DGSR,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,3,C2879206,TMUX1104DGSR,4:1 Analog Switch
41,U3,TPD2E001DRYR,SON-6_L1.5-W1.0-P0.50-BL,1,C379992,TPD2E001DRYR,Dual-Channel USB ESD Protection
42,D1,TVS,SOD-523_L1.2-W0.8-LS1.6-BI,1,C383211,LESD5D5.0CT1G,5V Bidirectional TVS/ESD Diode
